frame_timestamp_global,frame_timestamp_local,i_video,i_entity,label,delta_all_body,delta_head,delta_upper_body,delta_lower_body,delta_arms,delta_legs,delta_left_arm,delta_right_arm,delta_left_leg,delta_right_leg,delta_left_shoulder,delta_right_shoulder,delta_left_elbow,delta_right_elbow,delta_left_wrist,delta_right_wrist,delta_left_hip,delta_right_hip,delta_left_knee,delta_right_knee,delta_left_ankle,delta_right_ankle
480,29,2,2,1950,-0.15,0.026,-0.113,0.039,-0.113,0.039,-0.02,-0.033,-0.013,0.071,0.007,0.018,0.016,0.03,0.069,0.045,0.008,0.021,0.005,0.042,0.003,0.034
485,30,2,2,1950,-0.006,0.005,0.083,-0.142,0.083,-0.142,-0.003,0.033,-0.01,-0.074,0.002,0.004,0.033,0.07,0.054,0.052,0.003,0.004,0.002,0.005,0.001,0.014
490,31,2,2,1950,0.464,0.046,0.259,0.105,0.259,0.105,0.211,0.078,0.01,0.011,0.003,0.025,0.103,0.093,0.194,0.086,0.007,0.012,0.004,0.008,0.005,0.014
495,32,2,2,1950,-1.135,0.004,-0.692,-0.037,-0.692,-0.037,-0.237,-0.166,-0.002,-0.014,0.024,0.006,0.023,0.005,0.016,0.027,0.008,0.001,0.005,0.01,0.001,0.009
500,33,2,2,1950,1.131,0.001,0.411,-0.006,0.411,-0.006,-0.007,0.015,-0.008,-0.014,0.005,0.007,0.029,0.02,0.022,0.026,0.0,0.002,0.003,0.002,0.003,0.002
505,34,2,2,1950,-0.368,0.022,-0.023,0.039,-0.023,0.039,-0.033,0.018,0.004,0.013,0.003,0.017,0.015,0.01,0.005,0.044,0.002,0.003,0.002,0.005,0.006,0.011
510,35,2,2,1950,0.046,0.012,0.082,-0.01,0.082,-0.01,0.029,0.038,0.007,0.0,0.012,0.017,0.024,0.048,0.016,0.044,0.008,0.001,0.004,0.007,0.005,0.011
515,36,2,2,1950,-0.231,0.002,-0.142,-0.007,-0.142,-0.007,-0.013,-0.062,0.004,-0.004,0.011,0.002,0.017,0.021,0.011,0.024,0.009,0.006,0.007,0.002,0.005,0.007
520,37,2,2,1950,0.289,0.007,0.131,0.004,0.131,0.004,-0.007,0.063,-0.0,0.004,0.01,0.002,0.013,0.038,0.009,0.07,0.008,0.008,0.007,0.004,0.006,0.007
525,38,2,2,1950,-0.208,0.001,-0.068,0.001,-0.068,0.001,0.003,-0.015,0.005,0.0,0.009,0.007,0.015,0.014,0.011,0.074,0.008,0.008,0.009,0.005,0.009,0.006
530,39,2,2,1950,0.014,0.01,-0.054,-0.008,-0.054,-0.008,-0.015,-0.051,-0.006,0.003,0.006,0.004,0.008,0.011,0.006,0.029,0.006,0.006,0.005,0.007,0.009,0.009
